Hour,droughts_tweets,droughts_spike,heatwaves_tweets,heatwaves_spike,floods_tweets,floods_spike
2009-04-18 12,1.0,0.0,,,1.0,0.0
2009-04-18 15,1.0,0.0,,,,
2009-04-18 17,1.0,0.0,,,,
2009-04-19 01,1.0,0.0,,,,
2009-04-19 02,1.0,0.0,,,1.0,0.0
2009-04-19 10,1.0,0.0,,,,
2009-04-19 12,4.0,0.0,,,,
2009-04-19 13,1.0,0.0,,,,
2009-04-19 19,2.0,0.0,,,,
2009-04-20 20,1.0,0.0,,,,
2009-04-21 00,1.0,0.0,,,,
2009-04-21 03,1.0,0.0,,,,
2009-04-21 15,7.0,1.0,2.0,0.0,,
2009-04-21 20,1.0,0.0,1.0,0.0,,
2009-04-21 22,2.0,0.0,1.0,0.0,,
2009-04-22 03,1.0,0.0,,,,
2009-04-22 16,1.0,0.0,1.0,0.0,,
2009-04-23 21,1.0,0.0,,,,
2009-04-24 22,1.0,0.0,,,,
2009-04-25 19,1.0,0.0,,,,
2009-04-25 21,1.0,0.0,,,1.0,0.0
2009-04-26 11,5.0,1.0,,,,
2009-04-26 23,2.0,0.0,,,,
2009-04-27 22,1.0,0.0,,,,
2009-04-29 11,1.0,0.0,,,,
2009-04-29 23,1.0,0.0,1.0,0.0,,
2009-05-01 09,1.0,0.0,,,,
2009-05-03 02,1.0,0.0,,,1.0,0.0
2009-05-05 01,1.0,0.0,,,,
2009-05-05 10,1.0,0.0,,,,
2009-05-06 12,1.0,0.0,,,,
2009-05-06 14,1.0,0.0,,,,
2009-05-07 06,1.0,0.0,,,1.0,0.0
2009-05-08 20,1.0,0.0,,,,
2009-05-09 16,1.0,0.0,,,,
2009-05-12 03,1.0,0.0,,,2.0,0.0
2009-05-12 13,2.0,0.0,,,3.0,0.0
2009-05-12 18,2.0,0.0,,,,
2009-05-13 13,1.0,0.0,,,,
2009-05-13 21,1.0,0.0,,,1.0,0.0
2009-05-14 09,1.0,0.0,,,,
2009-05-14 10,1.0,0.0,,,2.0,0.0
2009-05-15 00,1.0,0.0,,,,
2009-05-16 13,1.0,0.0,,,,
2009-05-17 09,1.0,0.0,,,,
2009-05-18 03,1.0,0.0,,,,
2009-05-18 05,1.0,0.0,,,,
2009-05-19 22,1.0,0.0,,,,
2009-05-20 02,1.0,0.0,,,1.0,0.0
2009-05-20 05,1.0,0.0,1.0,0.0,,
2009-05-21 11,1.0,0.0,,,,
2009-05-23 14,1.0,0.0,,,1.0,0.0
2009-05-24 18,1.0,0.0,,,1.0,0.0
2009-05-25 02,1.0,0.0,,,1.0,0.0
2009-05-25 12,3.0,1.0,1.0,0.0,2.0,0.0
2009-05-25 13,2.0,1.0,,,2.0,0.0
2009-05-25 22,1.0,0.0,2.0,0.0,,
2009-05-26 21,1.0,0.0,1.0,0.0,,
2009-05-27 03,1.0,0.0,,,,
2009-05-27 10,1.0,0.0,2.0,0.0,1.0,0.0
2009-05-28 08,1.0,0.0,3.0,1.0,1.0,0.0
2009-05-29 11,1.0,0.0,1.0,0.0,,
2009-06-01 15,1.0,0.0,1.0,0.0,4.0,1.0
2009-06-03 18,2.0,0.0,,,,
2009-06-04 23,1.0,0.0,,,,
2009-06-07 05,1.0,0.0,,,,
2009-06-10 11,1.0,0.0,,,3.0,0.0
2009-06-10 16,1.0,0.0,,,,
2009-06-12 13,1.0,0.0,,,,
2009-06-12 15,1.0,0.0,,,,
2009-06-15 17,3.0,1.0,,,,
2009-06-15 19,1.0,0.0,,,,
2009-06-15 21,1.0,0.0,,,,
2009-06-16 18,2.0,0.0,,,4.0,1.0
2009-06-16 22,3.0,1.0,,,1.0,0.0
2009-06-16 23,1.0,0.0,4.0,1.0,1.0,0.0
2009-06-17 00,1.0,0.0,,,,
2009-06-17 01,2.0,0.0,1.0,0.0,,
2009-06-17 02,1.0,0.0,,,,
2009-06-17 14,1.0,0.0,2.0,0.0,,
2009-06-17 16,1.0,0.0,,,,
2009-06-18 01,1.0,0.0,1.0,0.0,1.0,0.0
2009-06-18 04,1.0,0.0,,,,
2009-06-18 14,1.0,0.0,,,2.0,0.0
2009-06-18 15,2.0,0.0,3.0,0.0,2.0,0.0
2009-06-18 16,1.0,0.0,1.0,0.0,1.0,0.0
2009-06-18 17,1.0,0.0,1.0,0.0,1.0,0.0
2009-06-18 18,1.0,0.0,,,4.0,0.0
2009-06-18 22,1.0,0.0,,,,
2009-06-19 13,1.0,0.0,,,,
2009-06-19 16,1.0,0.0,,,2.0,0.0
2009-06-19 17,1.0,0.0,,,1.0,0.0
2009-06-19 18,1.0,0.0,,,1.0,0.0
2009-06-19 21,3.0,1.0,,,3.0,0.0
2009-06-19 23,1.0,0.0,,,,
2009-06-20 00,1.0,0.0,,,,
2009-06-20 01,2.0,0.0,,,,
2009-06-20 21,1.0,0.0,1.0,0.0,,
2009-06-21 20,1.0,0.0,,,1.0,0.0
2009-06-21 22,1.0,0.0,,,1.0,0.0
2009-06-21 23,1.0,0.0,,,,
2009-06-22 02,1.0,0.0,,,,
2009-06-22 09,1.0,0.0,,,,
2009-06-24 02,1.0,0.0,,,,
2009-06-24 06,1.0,0.0,,,2.0,0.0
2009-06-24 15,1.0,0.0,,,,
2009-06-25 15,1.0,0.0,1.0,0.0,,
2009-06-25 19,1.0,0.0,,,1.0,0.0
2009-06-25 21,2.0,0.0,,,,
2009-06-26 03,1.0,0.0,,,,
2009-06-26 15,2.0,0.0,,,,
2009-06-27 14,1.0,0.0,3.0,0.0,,
2009-06-27 17,1.0,0.0,8.0,1.0,,
2009-06-28 12,1.0,0.0,1.0,0.0,,
2009-06-29 17,1.0,0.0,2.0,0.0,,
2009-06-29 18,1.0,0.0,,,1.0,0.0
2009-06-29 20,1.0,0.0,,,1.0,0.0
2009-06-30 01,1.0,0.0,1.0,0.0,1.0,0.0
2009-06-30 04,1.0,0.0,1.0,0.0,,
2009-06-30 21,2.0,0.0,1.0,0.0,2.0,0.0
2009-07-01 10,1.0,0.0,,,,
2009-07-01 13,2.0,1.0,,,2.0,0.0
2009-07-01 14,2.0,1.0,,,1.0,0.0
2009-07-01 16,1.0,0.0,,,,
2009-07-01 17,1.0,0.0,,,,
2009-07-03 01,2.0,0.0,,,,
2009-07-05 12,1.0,0.0,,,,
2009-07-05 14,4.0,1.0,,,,
2009-07-06 04,1.0,0.0,,,,
2009-07-06 15,1.0,0.0,,,1.0,0.0
2009-07-06 19,1.0,0.0,,,,
2009-07-06 21,2.0,0.0,,,,
2009-07-06 22,3.0,1.0,,,,
2009-07-07 06,1.0,0.0,,,,
2009-07-07 12,1.0,0.0,,,,
2009-07-07 15,1.0,0.0,,,,
2009-07-07 18,1.0,0.0,,,,
2009-07-08 09,1.0,0.0,,,,
2009-07-08 12,6.0,1.0,,,,
2009-07-08 13,32.0,1.0,,,,
2009-07-08 14,19.0,1.0,,,,
2009-07-08 17,1.0,0.0,1.0,0.0,1.0,0.0
2009-07-08 23,1.0,0.0,,,1.0,0.0
2009-07-09 01,1.0,0.0,,,1.0,0.0
2009-07-09 02,1.0,0.0,1.0,0.0,,
2009-07-09 04,1.0,0.0,,,1.0,0.0
2009-07-09 10,1.0,0.0,13.0,1.0,,
2009-07-09 13,1.0,0.0,1.0,0.0,,
2009-07-09 14,1.0,0.0,1.0,0.0,1.0,0.0
2009-07-09 17,1.0,0.0,,,,
2009-07-09 22,1.0,0.0,,,,
2009-07-10 01,1.0,0.0,,,,
2009-07-10 07,1.0,0.0,1.0,0.0,,
2009-07-10 17,1.0,0.0,,,,
2009-07-10 18,1.0,0.0,,,,
2009-07-11 01,3.0,0.0,,,,
2009-07-11 05,1.0,0.0,,,,
2009-07-11 21,1.0,0.0,,,,
2009-07-12 19,1.0,0.0,,,,
2009-07-12 20,1.0,0.0,1.0,0.0,2.0,0.0
2009-07-12 21,1.0,0.0,,,1.0,0.0
2009-07-12 23,2.0,0.0,,,,
2009-07-13 01,4.0,0.0,3.0,0.0,,
2009-07-14 14,1.0,0.0,1.0,0.0,,
2009-07-15 05,1.0,0.0,,,,
2009-07-15 13,1.0,0.0,,,,
2009-07-15 14,9.0,0.0,,,2.0,1.0
2009-07-15 15,8.0,1.0,,,,
2009-07-15 20,2.0,0.0,2.0,0.0,,
2009-07-16 16,1.0,0.0,,,,
2009-07-16 23,2.0,0.0,,,,
2009-07-17 00,2.0,0.0,,,,
2009-07-17 01,1.0,0.0,,,,
2009-07-17 13,1.0,0.0,,,,
2009-07-19 19,1.0,0.0,1.0,0.0,,
2009-07-20 04,1.0,0.0,,,,
2009-07-20 13,8.0,1.0,,,,
2009-07-20 14,2.0,0.0,,,,
2009-07-21 04,1.0,0.0,,,,
2009-07-21 06,1.0,0.0,,,1.0,0.0
2009-07-21 10,1.0,0.0,,,,
2009-07-21 12,1.0,0.0,,,,
2009-07-21 20,1.0,0.0,,,,
2009-07-22 07,1.0,0.0,,,1.0,0.0
2009-07-22 09,1.0,0.0,1.0,0.0,,
2009-07-22 14,1.0,0.0,2.0,0.0,1.0,0.0
2009-07-22 15,1.0,0.0,2.0,0.0,1.0,0.0
2009-07-23 06,1.0,0.0,,,1.0,0.0
2009-07-23 14,1.0,0.0,,,,
2009-07-23 19,1.0,0.0,,,,
2009-07-24 09,1.0,0.0,,,,
2009-07-24 12,1.0,0.0,,,,
2009-07-25 04,1.0,0.0,,,,
2009-07-26 05,1.0,0.0,,,,
2009-07-26 11,1.0,0.0,,,2.0,1.0
2009-07-26 13,1.0,0.0,,,,
2009-07-27 02,2.0,0.0,,,,
2009-07-27 13,1.0,0.0,,,,
2009-07-27 14,3.0,0.0,,,,
2009-07-28 11,1.0,0.0,,,,
2009-07-28 13,1.0,0.0,,,,
2009-07-28 16,1.0,0.0,,,,
2009-07-28 18,1.0,0.0,3.0,0.0,,
2009-07-28 23,1.0,0.0,1.0,0.0,,
2009-07-29 12,4.0,1.0,,,,
2009-07-29 13,5.0,1.0,,,,
2009-07-29 16,3.0,1.0,1.0,0.0,,
2009-07-29 22,1.0,0.0,1.0,0.0,,
2009-07-30 12,1.0,0.0,,,,
2009-07-30 14,2.0,0.0,,,,
2009-07-30 17,1.0,0.0,1.0,0.0,,
2009-07-30 23,1.0,0.0,1.0,0.0,,
2009-07-31 06,1.0,0.0,1.0,0.0,,
2009-07-31 13,6.0,1.0,1.0,0.0,,
2009-07-31 23,14.0,1.0,,,,
2009-08-01 00,2.0,0.0,,,,
2009-08-01 12,1.0,0.0,,,,
2009-08-01 13,2.0,0.0,,,,
2009-08-01 14,1.0,0.0,1.0,0.0,,
2009-08-01 15,1.0,0.0,,,,
2009-08-02 01,2.0,0.0,,,,
2009-08-02 02,3.0,0.0,,,2.0,0.0
2009-08-03 02,1.0,0.0,1.0,0.0,,
2009-08-03 23,1.0,0.0,,,,
2009-08-04 04,1.0,0.0,2.0,0.0,,
2009-08-04 14,3.0,0.0,1.0,0.0,1.0,0.0
2009-08-04 15,4.0,0.0,3.0,0.0,2.0,0.0
2009-08-04 19,1.0,0.0,,,,
2009-08-05 12,4.0,0.0,,,,
2009-08-05 13,2.0,0.0,1.0,0.0,,
2009-08-05 15,1.0,0.0,,,,
2009-08-05 22,1.0,0.0,,,1.0,0.0
2009-08-06 12,1.0,0.0,,,,
2009-08-06 16,1.0,0.0,,,1.0,0.0
2009-08-06 21,1.0,0.0,,,,
2009-08-07 12,2.0,0.0,,,,
2009-08-07 13,4.0,0.0,,,,
2009-08-08 14,4.0,0.0,8.0,1.0,,
2009-08-08 22,1.0,0.0,,,,
2009-08-09 05,1.0,0.0,,,,
2009-08-09 08,2.0,0.0,,,,
2009-08-09 10,2.0,0.0,,,,
2009-08-09 12,2.0,0.0,,,1.0,0.0
2009-08-09 14,3.0,0.0,,,,
2009-08-09 15,2.0,0.0,,,,
2009-08-09 16,1.0,0.0,,,,
2009-08-09 18,4.0,0.0,,,,
2009-08-09 19,1.0,0.0,2.0,0.0,,
2009-08-09 20,1.0,0.0,,,,
2009-08-09 23,1.0,0.0,1.0,0.0,,
